Model_arg,awareness,change_of_location,change_of_possession,change_of_state,change_of_state_continuous,existed_after,existed_before,existed_during,instigation,partitive,sentient,volition,was_for_benefit,was_used
DistilBERT_nsubj,0.7,0.3,0.22,0.18,0.54,0.42,0.46,0.48,0.22,0.69,0.59,0.26,0.72,0.32
DistilBERT_dobj,0.58,0.32,0.59,0.13,0.38,0.24,0.37,0.23,0.45,0.48,0.47,0.21,0.58,0.28
Pythia70m_nsubj,0.65,0.18,0.23,0.13,0.47,0.38,0.42,0.47,0.22,0.67,0.57,0.17,0.69,0.31
Pythia70m_dobj,0.2,0.29,0.45,0.03,0.26,0.15,0.19,0.11,0.36,0.17,0.21,0.07,0.24,0.25
GPT2-XL_nsubj,0.66,0.22,0.24,0.13,0.49,0.38,0.44,0.46,0.24,0.69,0.59,0.19,0.69,0.32
GPT2-XL_dobj,0.28,0.3,0.49,0.15,0.25,0.17,0.21,0.18,0.4,0.23,0.23,0.18,0.31,0.26
